product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-15;2025-05-20;10
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-15;2025-05-21;15
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-05-15;2025-05-19;19
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-15;2025-05-19;10
P011;pâine albă;Lidl;500.0;g;panificație;2025-05-15;2025-05-21;6
P014;roșii cherry;Lidl;250.0;g;legume și fructe;2025-05-15;2025-05-20;9
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-15;2025-05-21;28
P040;șampon păr gras;Head & Shoulders;400.0;ml;îngrijire personală;2025-05-15;2025-05-20;15
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-05-15;2025-05-19;13
P052;ciocolată neagră 70%;Fin Carre;100.0;g;gustări;2025-05-15;2025-05-21;15
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-05-15;2025-05-20;6
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-05-15;2025-05-20;4
P017;piept pui;Lidl;1.0;kg;carne;2025-05-15;2025-05-19;7
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-05-15;2025-05-21;12
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-05-15;2025-05-20;9
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-05-15;2025-05-21;11
P043;hârtie igienică 3 straturi;Zewa;10.0;role;produse de menaj;2025-05-15;2025-05-21;11
P026;banane;Lidl;1.0;kg;legume și fructe;2025-05-15;2025-05-19;4
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-15;2025-05-20;9
P014;roșii cherry;Lidl;250.0;g;legume și fructe;2025-05-15;2025-05-21;2
